well_id,well_name,latitude,longitude,well_type,well_status,well_result,field_name,field_code,field_operator,field_result,block_name,block_area_sqkm
LEW-08-S1,LEW-08-S1,53.13629301,5.93688838,Hydrocarbon development,Producing/Injecting,Gas,Leeuwarden-Nijega,LW-NIJ,Vermilion Energy Netherlands B.V.,Gas,,
LEW-08-S1,LEW-08-S1,53.13629301,5.93688838,Hydrocarbon development,Producing/Injecting,Gas,Eernewoude,ERW,Vermilion Energy Netherlands B.V.,Gas,,
LEW-09,LEW-09,53.13528611,5.96766414,Hydrocarbon evaluation,Abandoned,Gas,,,,,,
LEW-10,LEW-10,53.11319967,5.86969073,Hydrocarbon evaluation,Producing/Injecting,Gas,Leeuwarden-Nijega,LW-NIJ,Vermilion Energy Netherlands B.V.,Gas,,
LEW-101,LEW-101,53.14922135,6.00199453,Hydrocarbon evaluation,Producing/Injecting,Gas,,,,,,
LEW-11-S1,LEW-11-S1,53.13554937,5.93770152,Hydrocarbon development,Closed-in,Gas,Leeuwarden-Nijega,LW-NIJ,Vermilion Energy Netherlands B.V.,Gas,,
LEW-11-S1,LEW-11-S1,53.13554937,5.93770152,Hydrocarbon development,Closed-in,Gas,Eernewoude,ERW,Vermilion Energy Netherlands B.V.,Gas,,
LEW-12,LEW-12,53.12045571,5.95314477,Hydrocarbon development,Suspended,Gas,Leeuwarden-Nijega,LW-NIJ,Vermilion Energy Netherlands B.V.,Gas,,
LEW-13,LEW-13,53.10601231,5.91310137,Hydrocarbon development,Closed-in,Gas,Leeuwarden-Nijega,LW-NIJ,Vermilion Energy Netherlands B.V.,Gas,,
LEW-14,LEW-14,53.10555969,5.91303765,Hydrocarbon development,Closed-in,Gas,Leeuwarden-Nijega,LW-NIJ,Vermilion Energy Netherlands B.V.,Gas,,
LIE-22,LIE-22,51.42335835,5.8626642,Coal exploration,Abandoned,Coal,,,,,,
LIR-01-S3,LIR-01-S3,51.97803369,4.21988406,Hydrocarbon exploration,Abandoned,Oil and gas,De Lier,LIR,Nederlandse Aardolie Maatschappij B.V.,Olie en Gas,,
LIR-01-S3,LIR-01-S3,51.97803369,4.21988406,Hydrocarbon exploration,Abandoned,Oil and gas,Gaag,GAG,Nederlandse Aardolie Maatschappij B.V.,Gas,,
